word,phonetic,meaning,meaning_full,unit,theme,root,parts,memory,related,example_en,example_zh
radiat,/ˈreɪdieɪt/,词根：光线；辐射；向外发散,词根：光线；辐射；向外发散,Unit 01 核心词根,自然与科学,radi,radi 光线|-at 动作倾向,把一束光从中心向四周射出去，所有带 radi 的词都像从同一颗恒星发出光。,radiate|radiation|radial|radius,The sun can radiate light and heat.,太阳可以辐射光和热。
radiate,/ˈreɪdieɪt/,v. 发出；辐射；流露；传播,v. 发出；辐射；流露；传播,Unit 01 必考词,自然与科学,radi,radi 光线|-ate 动词后缀,太阳把光radiate到四面八方，人也可以radiate confidence。,radiat|radiation|emit|spread,She can radiate happiness to everyone around her.,她能把快乐传递给身边的每一个人。
radiation,/ˌreɪdiˈeɪʃn/,n. 辐射；放射线,n. 辐射；放射线,Unit 01 必考词,自然与科学,radi,radi 光线|-ation 名词后缀,医院放射科、太阳光、核能都在提醒你 radiation 是能量向外传播。,radiat|radiate|nuclear,Too much radiation is harmful to our health.,过多的辐射对我们的健康有害。
radiant,/ˈreɪdiənt/,adj. 光芒四射的；辐射的；容光焕发的,adj. 光芒四射的；辐射的；容光焕发的,Unit 01 必考词,自然与科学,radi,radi 光线|-ant 形容词后缀,radiate的形容词，像恒星一样发光的，也可以形容人笑容灿烂、容光焕发。,radiate|radiation|bright|luminous,She looked radiant in her new dress.,她穿着新裙子，看起来容光焕发。
radical,/ˈrædɪkl/,adj. 根本的；彻底的；激进的 n. 词根；基础,adj. 根本的；彻底的；激进的 n. 词根；基础,Unit 01 必考词,抽象,rad,rad 根|-ical 形容词后缀,从词根rad（根）延伸，根本的、彻底的，也指激进的思想，考研阅读高频词。,root|basic|fundamental|extreme,We need to make radical changes to our plan.,我们需要对计划做出彻底的改变。
observe,/əbˈzɜːrv/,v. 观察；注意到；遵守；庆祝,v. 观察；注意到；遵守；庆祝,Unit 01 必考词,自我,serv,ob-加强|serv 看|-e 动词后缀,ob-加强+serv看，盯着看→观察，也指遵守规则、庆祝节日，考研核心多义词。,observation|notice|watch|comply,We should observe the traffic rules.,我们应该遵守交通规则。
observation,/ˌɑːbzərˈveɪʃn/,n. 观察；注意；观察力；评论,n. 观察；注意；观察力；评论,Unit 01 必考词,自我,serv,ob-加强|serv 看|-ation 名词后缀,observe的名词形式，观察的动作或结果，考研阅读高频词。,observe|notice|perception|comment,His observation of the problem is very accurate.,他对这个问题的观察非常准确。
obscure,/əbˈskjʊr/,adj. 昏暗的；模糊的；晦涩的 v. 使模糊；掩盖,adj. 昏暗的；模糊的；晦涩的 v. 使模糊；掩盖,Unit 01 必考词,自然与科学,scur,ob-加强|scur 覆盖|-e 动词/形容词后缀,scur是覆盖，ob加强，全部盖住→昏暗的、模糊的，也指晦涩难懂的内容。,dark|vague|unclear|cover,The fog obscured the view of the mountains.,大雾模糊了群山的景色。
oblige,/əˈblaɪdʒ/,v. 迫使；使感激；施恩惠于,v. 迫使；使感激；施恩惠于,Unit 01 必考词,社会,lig,ob-加强|lig 绑|-e 动词后缀,lig是绑，ob加强，绑住你→迫使，也指施恩让人感激，考研高频搭配oblige sb to do sth。,obligation|force|compel|thank,The law obliges parents to send their children to school.,法律强制父母送孩子上学。
obligation,/ˌɑːblɪˈɡeɪʃn/,n. 义务；责任；职责,n. 义务；责任；职责,Unit 01 必考词,社会,lig,ob-加强|lig 绑|-ation 名词后缀,oblige的名词，绑在你身上的东西→义务、责任，考研核心词。,oblige|duty|responsibility|liability,It is our obligation to protect the environment.,保护环境是我们的义务。
object,/ˈɑːbdʒɪkt/ n. /əbˈdʒekt/ v.,n. 物体；实物；目标；宾语 v. 反对；拒绝,n. 物体；实物；目标；宾语 v. 反对；拒绝,Unit 01 必考词,抽象,ject,ob-加强|ject 扔|-t 名词/动词后缀,ject是扔，ob加强，扔到你面前的东西→物体、目标，也指扔回去→反对，考研核心多义词。,objection|objective|thing|target|oppose,Many people object to the new policy.,很多人反对这项新政策。
objection,/əbˈdʒekʃn/,n. 反对；异议；反对的理由,n. 反对；异议；反对的理由,Unit 01 必考词,抽象,ject,ob-加强|ject 扔|-ion 名词后缀,object的名词，反对的动作或理由，考研高频搭配objection to sth。,object|opposition|protest|disagreement,He raised an objection to the plan at the meeting.,他在会上对这个计划提出了异议。
